"Time"	"Standard force"	"Standard travel"
"s"	"N"	"mm"
85,2705	0,437093	0,231476
85,3705	0,407015	0,231744
85,4705	0,448085	0,232036
85,5705	0,441036	0,232306
85,6705	0,452246	0,232577
85,7705	0,398425	0,232864
85,8705	0,450035	0,233134
85,9705	0,420513	0,233416
86,0705	0,460773	0,233699
86,1705	0,423656	0,23396
86,2705	0,449607	0,234252
86,3705	0,414594	0,23453
86,4705	0,425874	0,234796
86,5705	0,422348	0,235076
86,6705	0,435084	0,235352
86,7705	0,428099	0,235649
86,8705	0,432207	0,23592
86,9705	0,428587	0,236194
87,0705	0,409772	0,23646
87,1705	0,416661	0,236742
87,2705	0,430198	0,237029
87,3705	0,410145	0,2373
87,4705	0,424541	0,237587
87,5705	0,430396	0,237874
87,6705	0,417329	0,238131
87,7705	0,429797	0,238408
87,8705	0,433535	0,238699
87,9705	0,43994	0,238971
88,0705	0,422911	0,239245
88,1705	0,426867	0,239536
88,2705	0,42629	0,239804
88,3705	0,435718	0,240081
88,4705	0,422142	0,240357
88,5705	0,465388	0,240645
88,6705	0,417983	0,240917
88,7705	0,441043	0,241189
88,8705	0,409129	0,241466
88,9705	0,427229	0,241756
89,0705	0,428747	0,242021
89,1705	0,41974	0,242299
89,2705	0,443116	0,242582
89,3705	0,418293	0,242862
89,4705	0,42725	0,24314
89,5705	0,412743	0,243409
89,6705	0,42145	0,243696
89,7705	0,416415	0,243971
89,8705	0,425369	0,244247
89,9705	0,410298	0,244527
90,0705	0,44988	0,244801
90,1705	0,436086	0,245083
90,2705	0,439954	0,245363
90,3705	0,446753	0,245639
90,4705	0,419366	0,245915
90,5705	0,429662	0,246197
